doses,s1,s2,s3,s4
0.0147,109.1306,113.2442,123.82908,104.03995
0.0293,107.2217,98.03999,111.40158,76.18718
0.0391,110.0373,112.36613,107.59744,116.21131
0.0586,113.521,115.24853,103.74586,113.96297
0.0781,116.8902,138.99498,117.17895,153.44636
0.1172,116.4225,115.71621,121.03052,126.40945
0.156,125.5278,126.6159,126.21971,114.83575
0.2343,121.2042,107.18352,117.55841,128.91392
0.313,130.9968,122.83632,131.30455,102.68336
0.4688,111.2685,114.48498,120.64157,117.57739
0.625,115.4967,114.24637,137.83135,114.15271
0.9375,102.5927,102.26816,114.0104,111.64824
1.25,112.7193,97.80138,107.90101,115.76543
1.875,103.1367,90.95806,97.38982,125.07183
2.5,106.2863,111.15398,86.86914,133.30622
3.75,103.423,102.23953,105.04554,84.13699
5,105.5228,110.89629,101.04217,110.65214
7.5,108.9779,101.81002,108.72635,103.98303
10,101.8578,109.83686,104.05892,108.66943
15,102.5831,107.85162,100.98526,96.02374
20,100.3497,108.90151,104.11585,65.20383